Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
mckenna-shoots-for-the-stars-bluray-rental-kids-family,McKenna Shoots for the Stars,,Blu-Ray,Media > Videos,"Rental, Blu-Ray, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,29078010,,,,kids-family
neighbors-bluray-rental-comedy,Neighbors,,Blu-Ray,Media > Videos,"Rental, Blu-Ray, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,28783098,,,,comedy
wanted-bluray-rental-action,Wanted,,Blu-Ray,Media > Videos,"Rental, Blu-Ray, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,28750330,,,,action
iron-man-trilogy-bluray-rental-action,Iron Man Trilogy,,Blu-Ray,Media > Videos,"Rental, Blu-Ray, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,28455418,,,,action
the-secret-life-of-pets-bluray-rental-kids-family,The Secret Life of Pets,,Blu-Ray,Media > Videos,"Rental, Blu-Ray, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,65377018,,,,kids-family
the-line-staten-island-bluray-rental-action,The Line / Staten Island,,Blu-Ray,Media > Videos,"Rental, Blu-Ray, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,65278714,,,,action
clash-of-the-titans-bluray-rental-action,Clash of the Titans,,Blu-Ray,Media > Videos,"Rental, Blu-Ray, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,65213178,,,,action
barbie-the-fairy-princess-bluray-rental-kids-family,Barbie & The Fairy Princess,,Blu-Ray,Media > Videos,"Rental, Blu-Ray, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,65016570,,,,kids-family
the-reckoning-vhs-rental-action,The Reckoning,,VHS,Media > Videos,"Rental, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,00669434,,,,action
baywatch-the-movie-vhs-rental-action,Baywatch The Movie,,VHS,Media > Videos,"Rental, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,00276218,,,,action
new-york-cop-vhs-rental-action,New York Cop,,VHS,Media > Videos,"Rental, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,99817466,,,,action
excellent-cadavers-vhs-rental-action,Excellent Cadavers,,VHS,Media > Videos,"Rental, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,99751930,,,,action
