title,creators,description,upc_isbn10,ean_isbn13,number_of_discs,ensemble,aspect_ratio,tags,notes,group,price,added,publisher,publish_date,length_of,copies,call_number,ddc,lcc,rating,review,review_created,status,began_date,completed_date
The Edge,,"The plane carrying wealthy Charles Morse crashes down in the Alaskan wilderness. Together with the two other passengers, photographer Robert and assistant Stephen, Charles devises a plan to help them reach civilization. However, his biggest obstacle might not be the elements, or even the Kodiak bear stalking them -- it could be Robert, whom Charles suspects is having an affair with his wife and would not mind seeing him dead.",,,,,,"VHS, action",,,0.00,,,,,1,35734522,,,,,,,,
Sleeping Beauty (1989),,,,,,,,"VHS, kids-family",,,0.00,,,,,1,35701754,,,,,,,,
Soldier of Fortune Inc.,,An elite team of ex-military operatives perform black ops missions for the US government.,,,,,,"VHS, action",,,0.00,,,,,1,35636218,,,,,,,,
DragonFight,,,,,,,,"VHS, action",,,0.00,,,,,1,35570682,,,,,,,,
The Train Robbers,,"A gunhand named Lane is hired by a widow, Mrs. Lowe, to find gold stolen by her deceased husband so that she may return it and clear the family name.",,,,,,"VHS, action",,,0.00,,,,,1,35537914,,,,,,,,
Son of the Pink Panther,,The illegitimate son of Inspector Clouseau is on the case of the kidnapped Princess Yasmin.,,,,,,"VHS, comedy",,,0.00,,,,,1,35472378,,,,,,,,
Dutch,,"To get to know his girlfriend's son, a man volunteers to pick him up from a prep school... only to learn that her son's not the nicest kid.",,,,,,"VHS, comedy",,,0.00,,,,,1,35439610,,,,,,,,
Father's Day,,"Teenager Philip has a day out with his father, whom he has not seen since he was two years old. His mother is not keen to hand her son over to the man who deserted them.",,,,,,"VHS, comedy",,,0.00,,,,,1,35406842,,,,,,,,
The Fear Inside,,"An agoraphobic children's book illustrator is trapped inside her home by two young psychos-in-love, who terrorize her. It is only when her young son is threatened that she manages to overcome her paralyzing fears and attempt to leave her home to save him...",,,,,,"VHS, thriller",,,0.00,,,,,1,35341306,,,,,,,,
Salvador,,,,,,,,"VHS, drama",,,0.00,,,,,1,35308538,,,,,,,,
Dying to Get Rich,,,,,,,,"VHS, comedy",,,0.00,,,,,1,35275770,,,,,,,,
Sleeping with the Enemy,,"A young woman fakes her own death in an attempt to escape her nightmarish marriage, but discovers it is impossible to elude her controlling husband.",,,,,,"VHS, thriller",,,0.00,,,,,1,35243002,,,,,,,,
A Pyromaniac's Love Story,,"A pastry boy and the son of a hair-piece mogul become involved in an arson scandal. Sergio is offered a bribe in exchange for taking the blame for the fire that destroys his workplace. Garet, the real arsonist, is apalled that someone else would try to take credit for his act of love. Before long, Sergio and Garet become entangled in a zany love-quadrangle involving Hattie and Stephanie. Written by Brian Whiting",,,,,,"VHS, romantic-comedy",,,0.00,,,,,1,35177466,,,,,,,,
Small Time Crooks,,A loser of a crook and his wife strike it rich when a botched bank job's cover business becomes a spectacular success.,,,,,,"VHS, comedy",,,0.00,,,,,1,35144698,,,,,,,,
