title,creators,description,upc_isbn10,ean_isbn13,number_of_discs,ensemble,aspect_ratio,tags,notes,group,price,added,publisher,publish_date,length_of,copies,call_number,ddc,lcc,rating,review,review_created,status,began_date,completed_date
"Double Feature: Terminator:3, Terminator Salvation",,"A double feature DVD pairing Terminator 3: Rise of the Machines (2003) and Terminator Salvation (2009), the third and fourth installments in the Terminator sci-fi action franchise.",,,,,,"DVD, sci-fi",,,0.00,,,,,1,72380154,,,,,,,,
Entrapment,,"Two thieves, who travel in elegant circles, try to outsmart each other and, in the process, end up falling in love.",,,,,,"DVD, action",,,0.00,,,,,1,83860218,,,,,,,,
Erin Brockovich,,"A twice-divorced mother of three who sees an injustice, takes on the bad guy and wins -- with a little help from her push-up bra. Erin goes to work for an attorney and comes across medical records describing illnesses clustered in one nearby town. She starts investigating and soon exposes a monumental cover-up.",,,,,,"VHS, drama",,,0.00,,,,,1,18936058,,,,,,,,
Escanaba In Da Moonlight,,"On the eve of deer-hunting season in Michigan, a family of hunters contends with the shame of their eldest son never having shot his own buck.",,,,,,"VHS, comedy",,,0.00,,,,,1,06942970,,,,,,,,
Fear in the Night,,"It took Peggy Heller a long time to recover from the trauma of a brutal physical assault, suffered in her youth. When she married Robert, he provided her with the love and reassurance she craved for and the two settled down in a pretty house in the grounds of the public school where Robert was a master. But the headmaster of the school is not what he seems and Peggy is convinced he means to harm her - is her fear a figment of her tortured imagination or are there forces at work that intend to manipulate her anxieties with fatal consequences?",,,,,,"DVD, thriller",,,0.00,,,,,1,47820026,,,,,,,,
Fearless,,"After going through a series of tragic events in his life, martial arts master Huo Yuanjia returns to Tianjin and must fight four international soldiers, in order to safeguard his nation's pride.",,,,,,"Blu-Ray, action",,,0.00,,,,,1,82942714,,,,,,,,
Field of Dreams,,"Ray Kinsella is an Iowa farmer who hears a mysterious voice telling him to turn his cornfield into a baseball diamond. He does, but the voice's directions don't stop -- even after the spirits of deceased ballplayers turn up to play.",,,,,,"VHS, drama",,,0.00,,,,,1,18837754,,,,,,,,
Fifty Shades of Gray,,"Fifty Shades of Grey is a 2015 erotic romantic drama starring Dakota Johnson and Jamie Dornan, based on the novel by E.L. James.",,,,,,"DVD, drama",,,0.00,,,,,1,79334906,,,,,,,,
Flight 93,,"Flight 93 is a 2006 made-for-TV film, directed by Peter Markle, which chronicles the events aboard United Airlines Flight 93 during the September 11 attacks. It premiered January 30, 2006 on the A&E Network and was re-broadcast several times throughout 2006. The film focused heavily on eight passengers, namely Todd Beamer, Mark Bingham, Tom Burnett, Jeremy Glick, Lauren Grandcolas, Donald Greene, Nicole Miller, and Honor Elizabeth Wainio. It features small appearances from many other passengers, namely Donald Peterson and his wife, Jean, and also from flight attendant Sandra Bradshaw.",,,,,,"DVD, drama",,,0.00,,,,,1,41823482,,,,,,,,
Footloose,,"Ren MacCormack is transplanted from Boston to the small southern town of Bomont where loud music and dancing are prohibited. Not one to bow to the status quo, Ren challenges the ban, revitalizing the town and falling in love with the minister’s troubled daughter Ariel in the process.",,,,,,"DVD, musical",,,0.00,,,,,1,83368698,,,,,,,,
Frank and Jesse,,"At the end of the Civil War, Frank and Jesse James and other former guerillas who rode with Quantrill and Bill Anderson take the oath of allegiance to the Union. Feeling oppressed by Chicago railroad investors, the James and Younger brothers, Bob and Charlie Ford, Clell Miller and Arch Clements take to robbing banks, trains and coaches, with Pinkerton sworn to bringing them to justice.",,,,,,"DVD, action",,,0.00,,,,,1,71495418,,,,,,,,
Friday Night Lights,,"A small, turbulent town in Texas obsesses over their high school football team to an unhealthy degree. When the star tailback, Boobie Miles, is seriously injured during the first game of the season, all hope is lost, and the town's dormant social problems begin to flare up. It is left to the inspiring abilities of new coach Gary Gaines to instill in the other team members -- and, by proxy, the town itself -- a sense of self-respect and honor.",,,,,,"DVD, drama",,,0.00,,,,,1,83499770,,,,,,,,
Garden State,,"Andrew returns to his hometown for his mother’s funeral, a journey that reconnects him with old friends. The trip coincides with his decision to stop taking his powerful antidepressants. A chance meeting with Sam—a girl also struggling with various maladies—opens up the possibility of rekindling emotional connections, confronting his psychologist father, and perhaps beginning a new life.",,,,,,"DVD, drama",,,0.00,,,,,1,83565306,,,,,,,,
Get Him to the Greek,,"Pinnacle records has the perfect plan to get their sinking company back on track: a comeback concert in LA featuring Aldous Snow, a fading rockstar who has dropped off the radar in recent years. Record company intern Aaron Green is faced with the monumental task of bringing his idol, out of control rock star Aldous Snow, back to LA for his comeback show.",,,,,,"DVD, comedy",,,0.00,,,,,1,90755066,,,,,,,,
Get Shorty,,"Chili Palmer is a Miami mobster who gets sent to L.A. to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",,,,,,"DVD, comedy",,,0.00,,,,,1,41725178,,,,,,,,
Ghost in the Family,,"When an emotionally broken family moves into a house haunted by Tom, a suffering spirit, Tom sees an opportunity to try and save his soul by teaching the family how to live again...but quickly discovers that is easier said than done.",,,,,,"DVD, comedy",,,0.00,,,,,1,94785530,,,,,,,,
Golden Eye,,"When a powerful secret defense system is stolen, James Bond is assigned to stop a Russian crime syndicate from using it.",,,,,,"DVD, action",,,0.00,,,,,1,71528186,,,,,,,,
Gone are the Days,,"The story of notorious outlaw Taylon Flynn, a man hell-bent on exiting this life in a blaze of glory. His plans go awry upon the discovery of the sordid life his estranged daughter is forced to live. To save her, he must summon the inner demons he purged long ago, and finds that redemption is a hard road to travel.",,,,,,"DVD, action",,,0.00,,,,,1,45415162,,,,,,,,
Gunslingers Revenge,,"The idealistic lifestyle of an old West farmer, his Indian wife, and half-breed son is interrupted when the boy's old gunslinger father returns. They are not happy with his return despite the old gunslinger's intention to retire. Things take a turn for the worse when another gunslinger arrives in town, trying to force a battle with the father.",,,,,,"DVD, action",,,0.00,,,,,1,19828730,,,,,,,,
Hatchet 2,,"Picking up right where the original ended, Marybeth escapes the clutches of the swamp-dwelling killer Victor Crowley. After learning the truth about her family’s connection to the hatchet-wielding madman, Marybeth returns to the Louisiana swamps along with an army of hunters to recover the bodies of her family and exact the bloodiest revenge against the bayou butcher.",,,,,,"DVD, horror",,,0.00,,,,,1,17174522,,,,,,,,
Hatchet,,"When a group of tourists on a New Orleans haunted swamp tour find themselves stranded in the wilderness, their evening of fun and spooks turns into a horrific nightmare.",,,,,,"DVD, horror",,,0.00,,,,,1,17338362,,,,,,,,
Hitari,,"Hatari! is a 1962 American adventure romantic comedy film directed by Howard Hawks, starring John Wayne as the leader of a group of professional game catchers in Africa.",,,,,,"DVD, action",,,0.00,,,,,1,71659258,,,,,,,,
Hitchhikers Guide to the Galaxy,,"Mere seconds before the Earth is to be demolished by an alien construction crew, Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy.""",,,,,,"DVD, sci-fi",,,0.00,,,,,1,97494266,,,,,,,,
Hold That Ghost,,Two bumbling service station attendants are left as the sole beneficiaries in a gangster's will. Their trip to claim their fortune is sidetracked when they are stranded in a haunted house along with several other strangers.,,,,,,"VHS, comedy",,,0.00,,,,,1,18706682,,,,,,,,
Home of the Brave,,"The day after they get the word they'll go home in two weeks, a group of soldiers from Spokane are ambushed in an Iraqi city. Back stateside we follow four of them - a surgeon who saw too much, a teacher who's a single mom and who lost a hand in the ambush, an infantry man whose best friend died that day, and a soldier who keeps reliving the moment he killed a civilian woman.",,,,,,"DVD, action",,,0.00,,,,,1,40336122,,,,,,,,
Hostel,,"Three backpackers head to a Slovakian city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them.",,,,,,"DVD, horror",,,0.00,,,,,1,17272826,,,,,,,,
How Stella Got Her Groove Back,,"Through good times and bad, Stella and Delilah have always had each other. Now, Stella's so busy building a life that she's forgotten how to really live. But Delilah is about to change all that. What starts as a quick trip to Jamaica, ends as an exhilarating voyage of self discovery as Stella learns to open her heart and find love – even if it's with a man 20 years her junior.",,,,,,"VHS, romantic-comedy",,,0.00,,,,,1,02420986,,,,,,,,
I Am Legend,,"Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone.",,,,,,"DVD, sci-fi",,,0.00,,,,,1,83761914,,,,,,,,
Ice Soldiers,,A scientist discovers the bodies of three frozen genetically modified Russians buried in the Canadian North. Upon thawing them out he realizes he has unleashed a deadly threat to Western society and must stop them at all costs.,,,,,,"DVD, action",,,0.00,,,,,1,71429882,,,,,,,,
Invasion of the Tinysauruses,,"Littlefoot and his friends return in another adventure. But this time, they aren't the smallest dinosaurs in the valley anymore.",,,,,,"DVD, kids-family",,,0.00,,,,,1,96647418,,,,,,,,
John Tucker Must Die,,"After discovering they are all dating the same same guy, three popular students from different cliques band together for revenge, so they enlist the help of a new gal in town and conspire to break the jerk's heart, while destroying his reputation.",,,,,,"DVD, comedy",,,0.00,,,,,1,94982138,,,,,,,,
John Wick Chapter 3: Parebellum,,"John Wick: Chapter 3 – Parabellum is a 2019 American neo-noir action thriller film directed by Chad Stahelski, starring Keanu Reeves as the legendary hitman on the run after killing a member of the international assassins' guild.",,,,,,"DVD, action",,,0.00,,,,,1,71560954,,,,,,,,
Justice League : Starcrossed the Movie,,"When the Thanagarians visit Earth, Hawkgirl is forced to choose between loyalty to her people and love for her friends on her adopted planet Earth.",,,,,,"DVD, kids-family",,,0.00,,,,,1,52079866,,,,,,,,
Justin Time,,"An ancient stone amulet and calendar disc has the power to stop time. Passed from generation to generation, these magical artifacts end up in the hands of an 18-year-old half Shoshoni Indian named Justin, who chooses to to use his power to make the world a better place.",,,,,,"DVD, kids-family",,,0.00,,,,,1,51916026,,,,,,,,
K-Pax,,"Prot is a patient at a mental hospital who claims to be from a far away planet. His psychiatrist tries to help him, only to begin to doubt his own explanations.",,,,,,"VHS, drama",,,0.00,,,,,1,07205114,,,,,,,,
Kangaroo Jack G'Day USA,,"Kangaroo Jack is back but this time he's animated! Three Teenagers go to the Outback, and find themselves back in Vegas - trying to get Jack home!",,,,,,"DVD, kids-family",,,0.00,,,,,1,96085242,,,,,,,,
King Kong vs Godzilla,,"The advertising director of Pacific Pharmaceuticals, frustrated with the low ratings of their sponsored TV program, seeks a more sensationalist approach. He orders his staff to Faro Island to capture King Kong for exploitation. As Godzilla re-emerges, a media frenzy generates with Pacific looking to capitalize off of the ultimate battle.",,,,,,"VHS, action",,,0.00,,,,,1,06844666,,,,,,,,
Kiss of the Dragon,,"Liu Jian, an elite Chinese police officer, comes to Paris to arrest a Chinese drug lord. When Jian is betrayed by a French officer and framed for murder, he must go into hiding and find new allies.",,,,,,"DVD, action",,,0.00,,,,,1,05684218,,,,,,,,
Kung Fu Dunk,,"Shi-Jie is a brilliant martial artist from the Kung Fu School. One day, he encounters a group of youths playing basketball and shows off how easy it is for him, with his martial arts training, to do a Slam Dunk. Watching him was Chen-Li, a shrewd businessman, who recruits him to play varsity basketball at the local university.",,,,,,"DVD, action",,,0.00,,,,,1,43219706,,,,,,,,
Legend of the Naga Pearls,,"After being defeated by humans centuries ago, the Winged Tribe has lost their ability to fly. Seeking vengeance, a royal descendant of the tribe has begun searching for the magical Naga Pearls, which he plans to use to destroy the humans. When the legendary pearls fall into - and out of - the hands of Heiyu, a wily human street punk, he must join a team of unlikely heroes as they race to prevent the destruction of their people in this magical fantasy adventure.",,,,,,"DVD, fantasy",,,0.00,,,,,1,72314618,,,,,,,,
Legend,,"Set in a timeless mythical forest inhabited by fairies, goblins, unicorns and mortals, this fantastic story follows a mystical forest dweller, chosen by fate, to undertake a heroic quest. He must save the beautiful Princess Lili and defeat the demonic Lord of Darkness, or the world will be plunged into a never-ending ice age.",,,,,,"VHS, fantasy",,,0.00,,,,,1,07172346,,,,,,,,
