Reason,Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Waitlist Emails (product.metafields.custom.waitlist_emails),Art style (product.metafields.shopify.art-style),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Media format (product.metafields.shopify.media-format),Neckline (product.metafields.shopify.neckline),Orientation (product.metafields.shopify.orientation),Sleeve length type (product.metafields.shopify.sleeve-length-type),Theme (product.metafields.shopify.theme),Tote handle type (product.metafields.shopify.tote-handle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
no image,deuces-wild-vhs-floor-sale-drama,Deuces Wild,<p></p>,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,84854266,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
no description; no image,devil-in-a-blue-dress-vhs-floor-sale-drama,Devil in a Blue Dress,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,47728122,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
no image,devils-advocate-vhs-floor-sale-thriller,Devil's Advocate,<p></p>,VHS,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,53208314,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
no image,dial-m-for-murder-vhs-floor-sale-thriller,Dial M for Murder,<p></p>,VHS,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,84723194,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
no description; no image,diamonds-edge-vhs,Diamond's Edge,,VHS,Media > Videos,,"Comedy, Floor Sale, Formatted, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,36152570,,,,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
no description; no image,diamonds-vhs-floor-sale-comedy,Diamonds,,VHS,Media > Videos,,"Comedy, Floor Sale, Formatted, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,28634106,,,,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
no description; no image,dick-tracy-vhs-rental-action,Dick Tracy,,VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,93294842,,,,false,,,,,,,action,,,,,,,,,,,,lb,,,active
no description; no image,die-hard-bluray-floor-sale-thriller,Die Hard,,Blu-Ray,Media > Videos,,"Blu-Ray, Floor Sale, Formatted, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,14630394,,,,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
no description; no image,die-hard-dvd-floor-sale-action,Die Hard,,DVD,Media > Videos,,"Action, DVD, Floor Sale, Formatted",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,50031354,,,,false,,,,,,,action,,,,,,,,,,,,lb,,,active
no description; no image,dillinger-vhs,Dillinger,,VHS,Media > Videos,,"Action, Floor Sale, Formatted, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,4.00,,true,true,,,,,04740090,,,,false,,,,,,,action,,,,,,,,,,,,lb,,,active
