product_id,title,vendor,status,handle,sku,barcode,qty,tags
9258826334458,Kick-Ass,Blu-Ray,ACTIVE,kick-ass,,191-BLRKIC-50-001A,1,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9266895323386,Kick-Ass 2,Blu-Ray,ACTIVE,kick-ass-2,,191-BLRKCK-50-001A,1,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9266967478522,Kill Bill,4K,ACTIVE,kill-bill,,191-BLRKI2-50-001A,0,"4K, Action, Formatted, issue:needs_new_barcode, Rental"
9266895192314,Kill Bill Vol. 2,Blu-Ray,ACTIVE,kill-bill-vol-2,,191-BLRKLL-50-001A,1,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9258866999546,Killing Them Softly,Blu-Ray,ACTIVE,killing-them-softly,,191-BLRKIL-50-001A,1,"Blu-Ray, Drama, Formatted, issue:needs_new_barcode, Rental"
9260445597946,Kinji Fukasaku's Battles Without Honor and Humanity: The Complete Trilogy (Arrow),Blu-Ray,ACTIVE,kinji-fukasakus-battles-without-honor-and-humanity-the-complete-trilogy-arrow,,191-BLRKIN-50-001A,1,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9260364759290,Knocked Up (Unrated),Blu-Ray,ACTIVE,knocked-up-unrated,,191-BLRKNO-50-001A,1,"Blu-Ray, Comedy, Formatted, issue:needs_new_barcode, Rental"
9258868474106,Let Me In,Blu-Ray,ACTIVE,let-me-in,,191-BLRLET-50-001A,0,"Blu-Ray, Formatted, Horror, issue:needs_new_barcode, Rental"
9249544831226,Liar Liar,VHS,ACTIVE,liar-liar-vhs-video-tape,,191-NKNLIA-50-001A,1,"Comedy, Formatted, issue:needs_new_barcode, Rental, VHS"
9276612149498,Lifeboat,DVD,ACTIVE,lifeboat,,191-DVDLFB-001A,0,"Drama, DVD, Formatted, issue:needs_new_barcode, Rental"
9260438290682,Lost Picture Show (Vinegar Syndrome),Blu-Ray,ACTIVE,lost-picture-show-vinegar-syndrome,,191-BLRLOS-50-001A,1,"Blu-Ray, Formatted, Horror, Rental"
9276610445562,Lost in Translation,DVD,ACTIVE,lost-in-translation,,191-DVDLOS-001A,1,"Comedy, DVD, Formatted, issue:held_for_libib_cleanup, issue:needs_new_barcode, Rental"
