barcode,n_variants,n_products,product_id,title,vendor,status,qty,tags
75077114,2,2,9296423616762,Grand Theft Auto,VHS,ACTIVE,1,"Comedy, Floor Sale, Formatted, VHS"
75077114,2,2,9307289452794,Kill Bill: Volume 1 & 2,Blu-Ray,ACTIVE,1,"Action, Blu-Ray, Floor Sale, Formatted, issue:duplicate_barcode, issue:needs_new_barcode"
75109882,2,2,9296423649530,The Players Club,VHS,ACTIVE,1,"Comedy, Floor Sale, Formatted, VHS"
75109882,2,2,9307289485562,The Hunger Games: Mockingjay Part 2,Blu-Ray,ACTIVE,1,"Action, Blu-Ray, Floor Sale, Formatted, issue:duplicate_barcode, issue:needs_new_barcode"
86019066,2,2,9341431283962,Matrix Reloaded,DVD,ACTIVE,1,"DVD, Floor Sale, Formatted, Sci-Fi, issue:duplicate_barcode, issue:needs_new_barcode"
86019066,2,2,9367068246266,The Trouble with Angels,DVD,ACTIVE,1,"Comedy, DVD, Formatted, Rental"
95893754,2,2,9296335732986,Gone Fishin',VHS,ACTIVE,1,"Comedy, Floor Sale, Formatted, VHS, issue:duplicate_barcode, issue:needs_new_barcode"
95893754,2,2,9355148591354,Christmas with the Kranks,DVD,ACTIVE,1,"DVD, Formatted, Holiday, Rental"
95926522,2,2,9296335765754,Maid to Order,VHS,ACTIVE,1,"Comedy, Floor Sale, Formatted, VHS, issue:duplicate_barcode, issue:needs_new_barcode"
95926522,2,2,9355148624122,Guess Who,DVD,ACTIVE,1,"DVD, Formatted, Rental, Romantic Comedy"
95992058,2,2,9296335831290,Loaded Weapon 1,VHS,ACTIVE,1,"Comedy, Floor Sale, Formatted, VHS, issue:duplicate_barcode, issue:needs_new_barcode"
95992058,2,2,9355148689658,The Sorcerer's Apprentice,DVD,ACTIVE,1,"DVD, Formatted, Kids & Family, Rental"
98711802,2,2,9307232239866,How to Train Your Dragon,Blu-Ray,ACTIVE,1,"Blu-Ray, Floor Sale, Formatted, Kids & Family, issue:duplicate_barcode, issue:needs_new_barcode"
98711802,2,2,9355149115642,Against the Ropes: Contrecoups,DVD,ACTIVE,1,"Drama, DVD, Formatted, Rental"
98777338,2,2,9307232305402,The Jungle Book (Live Action),Blu-Ray,ACTIVE,1,"Blu-Ray, Floor Sale, Formatted, Kids & Family, issue:duplicate_barcode, issue:needs_new_barcode"
98777338,2,2,9355149181178,Brothers by Blood,DVD,ACTIVE,1,"Drama, DVD, Formatted, Rental"
98973946,2,2,9307232502010,Kung Fu Panda,Blu-Ray,ACTIVE,1,"Blu-Ray, Floor Sale, Formatted, Kids & Family, issue:duplicate_barcode, issue:needs_new_barcode"
98973946,2,2,9355149246714,Professor and the Madman,DVD,ACTIVE,1,"Drama, DVD, Formatted, Rental"
